_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved,Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
117,ARH0008,11 Macey Avenue,11 Macey Ave,Occupied,20,Scarborough Southwest,0,0,56,"{""type"": ""Point"", ""coordinates"": [-79.28672758, 43.69273877]}"
118,ARH0041,150 Eighth Street,150 Eighth St,Started Construction,3,Etobicoke-Lakeshore,0,0,56,"{""type"": ""Point"", ""coordinates"": [-79.50759301, 43.6021441]}"
119,ARH0306,2400 - 2440 Dundas Street West (Phase 2),2440 Dundas St. W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,56,0,0,"{""type"": ""Point"", ""coordinates"": [-79.45272929, 43.65862499]}"
120,ARH0273,72 Perth Ave.,72 Perth Ave,Approved OPAs and Zoning By-Law Amendments,9,Davenport,52,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44850542, 43.65628223]}"
121,ARH0040,90 Dunn Avenue,90 Dunn Avenue,Occupied,4,Parkdale-High Park,0,0,51,"{""type"": ""Point"", ""coordinates"": [-79.43357706, 43.63659231]}"
122,ARH0279,1886-1920 Eglinton Ave. W.,1886 Eglinton Ave W,Approved OPAs and Zoning By-Law Amendments,8,Eglinton-Lawrence,51,0,0,"{""type"": ""Point"", ""coordinates"": [-79.45171015, 43.69642043]}"
123,ARH0282,7 - 9 Wardlaw Crescent,9 Wardlaw Cres,Started Construction,1,Etobicoke North,0,0,51,"{""type"": ""Point"", ""coordinates"": [-79.56490605, 43.739925]}"
124,ARH0048,1552 Weston Road,1552 Weston Rd,Started Construction,5,York South-Weston,50,0,0,"{""type"": ""Point"", ""coordinates"": [-79.50633828, 43.69433158]}"
125,ARH0120,285 - 297 Danforth Ave./ 60 - 80 Bowden St,60 Bowden St,Started Construction,14,Toronto-Danforth,0,0,50,"{""type"": ""Point"", ""coordinates"": [-79.35408755, 43.67699635]}"
126,ARH0295,253 Markham Road,253 Markham Road,Approved OPAs and Zoning By-Law Amendments,24,Scarborough-Guildwood,49,196,0,"{""type"": ""Point"", ""coordinates"": [-79.22022365, 43.74737723]}"
127,ARH0082,215 Wellesley Street East,215 Wellesley St E,Started Construction,13,Toronto Centre,0,0,48,"{""type"": ""Point"", ""coordinates"": [-79.37297939, 43.66714857]}"
128,ARH0142,3379 - 3385 Lawrence Avenue East,3385 Lawrence Ave E,Planning Applications Under Review,24,Scarborough-Guildwood,47,0,0,"{""type"": ""Point"", ""coordinates"": [-79.23336139, 43.75768999]}"
129,ARH0191,62 Orchard Park Drive,62 Orchard Park Dr,Approved OPAs and Zoning By-Law Amendments,25,Scarborough-Rouge Park,47,0,0,"{""type"": ""Point"", ""coordinates"": [-79.17960779, 43.77419123]}"
130,ARH0194,630 Spadina Avenue,630 Spadina Avenue ,Planning Applications Under Review,11,University-Rosedale,47,0,0,"{""type"": ""Point"", ""coordinates"": [-79.402491, 43.662618]}"
131,ARH0264,2575 & 2625 Danforth Avenue; 2681 Danforth Avenue;and 2721 Danforth Avenue,2575 Danforth Ave,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,47,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30141423, 43.693568]}"
132,ARH0077,2102 Lawrence Avenue East,2102 Lawrence Ave E,Planning Applications Under Review,21,Scarborough Centre,46,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29046552, 43.74670626]}"
133,ARH0147,351 Lake Shore Boulevard East (North Block),351 Lake Shore Blvd E,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,45,0,0,"{""type"": ""Point"", ""coordinates"": [-79.35968834, 43.64797447]}"
134,ARH0135,321 Dovercourt (formerly 150 Harrison Street),321 Dovercourt Rd,Occupied,9,Davenport,0,0,44,"{""type"": ""Point"", ""coordinates"": [-79.42494999, 43.65067783]}"
135,ARH0307,126 - 132 Laird Drive and 134 Laird Drive,126 Laird Dr,Planning Applications Under Review,15,Don Valley West,44,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3625389, 43.70726814]}"
136,ARH0324,165 Grange Ave,165 Grange Ave,Pre-Planning,10,Spadina-Fort York,44,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40130402, 43.65107179]}"
137,ARH0007,11 Brock Avenue,11 Brock Ave,Started Construction,4,Parkdale-High Park,0,0,42,"{""type"": ""Point"", ""coordinates"": [-79.43224046, 43.64212337]}"
138,ARH0212,815-845 Eglinton Avenue East,815 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,15,Don Valley West,40,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36428549, 43.7135245]}"
139,ARH0226,938-960 King Street West and 95-99 Strachan Avenue,950 King St W,Started Construction,10,Spadina-Fort York,40,0,0,"{""type"": ""Point"", ""coordinates"": [-79.41180491, 43.64228928]}"
140,ARH0254,1117 Danforth Avenue,1117 Danforth Ave,Approved Site Plan Application,14,Toronto-Danforth,14,41,26,"{""type"": ""Point"", ""coordinates"": [-79.334058, 43.680931]}"
141,ARH0090,2200 Eglinton Avenue East (Block 2),2200 Eglinton Ave E,Approved OPAs and Zoning By-Law Amendments,21,Scarborough Centre,39,0,0,"{""type"": ""Point"", ""coordinates"": [-79.28114089, 43.73001601]}"
142,ARH0034,140 the Queensway,140 The Queensway,Started Construction,3,Etobicoke-Lakeshore,0,0,38,"{""type"": ""Point"", ""coordinates"": [-79.48358506, 43.6307302]}"
143,ARH0109,250 Dundas Street West,250 Dundas St W,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,34,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38979491, 43.65480946]}"
144,ARH0209,7-9 Norris Crescent,17 Norris Cr,Planning Applications Under Review,3,Etobicoke-Lakeshore,33,0,0,"{""type"": ""Point"", ""coordinates"": [-79.48839647, 43.61104091]}"
145,ARH0086,22 Balliol Street,22 Balliol St,Approved OPAs and Zoning By-Law Amendments,12,Toronto-St. Pauls,32,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3955361, 43.69790993]}"
146,ARH0132,315 and 325 Front Street West and Rail Corridor (Phase 1),315 Front St W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,32,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3899116, 43.64351375]}"
147,ARH0270,"1245 Dupont Street, 213 Emerson Avenue, 1260 Dufferin Street - Block 3",213 Emerson Ave,Approved OPAs and Zoning By-Law Amendments,9,Davenport,32,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4437185, 43.66651611]}"
148,ARH0100,25 Augusta Avenue,25 Augusta Ave,Occupied,10,Spadina-Fort York,0,0,31,"{""type"": ""Point"", ""coordinates"": [-79.39949703, 43.64906978]}"
149,ARH0148,353 - 355 Sherbourne Street and 157 Carlton Street,355 Sherbourne St,Planning Applications Under Review,13,Toronto Centre,31,0,0,"{""type"": ""Point"", ""coordinates"": [-79.37262937, 43.66303625]}"
150,ARH0203,7 Vanauley Street,7 Vanauley St,Started Construction,10,Spadina-Fort York,0,0,31,"{""type"": ""Point"", ""coordinates"": [-79.39830825, 43.64882517]}"
151,ARH0039,1499 Queen Street West,1499 Queen Street West,Pre-Planning,4,Parkdale-High Park,30,0,0,"{""type"": ""Point"", ""coordinates"": [-79.440558, 43.639752]}"
152,ARH0259,"245, 251, 257 Queen Street East and 348, 354 Richmond Street East",348 Richmond St. E,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,30,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36857932, 43.653979]}"
153,ARH0327,507 Kingston Road,507 Kingston Road,Building Permit Application,19,Beaches-East York,30,60,0,"{""type"": ""Point"", ""coordinates"": [-79.30217692, 43.67761124]}"
154,ARH0332,124 and 126 Broadway Avenue,124 Broadway Avenue,Approved OPAs and Zoning By-Law Amendments,15,Don Valley West,30,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39249769, 43.71142187]}"
155,ARH0118,27 Grosvenor Street & 26 Grenville Street,27 Grosvenor St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,29,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38526442, 43.66246756]}"
156,ARH0223,"90 and 100 Simcoe Street, 130 Pearl Street, and 203, 207, and 211 Adelaide Street West",100 Simcoe St,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,28,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38676275, 43.64820052]}"
157,ARH0255,1113-1125 Dundas Street West,1113 Dundas Street W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,28,68,0,"{""type"": ""Point"", ""coordinates"": [-79.41972082, 43.649471]}"
158,ARH0012,1120 Ossington Ave,1120 Ossington Ave,Occupied,9,Davenport,0,0,26,"{""type"": ""Point"", ""coordinates"": [-79.43018233, 43.67193095]}"
159,ARH0205,729 St Clair Avenue West,729 St Clair Ave W,Pre-Planning,12,Toronto-St. Pauls,26,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4274778, 43.6811414]}"
160,ARH0268,2901 Bayview Avenue (South Development),2901 Bayview Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,26,0,0,"{""type"": ""Point"", ""coordinates"": [-79.385439, 43.767823]}"
161,ARH0176,510-528 Yonge Street and 7 Breadalbane Street ,510 Yonge St,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,25,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38417999, 43.66342015]}"
162,ARH0002,100-120 Broadway Avenue,100 Broadway Ave,Occupied,15,Don Valley West,24,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39319723, 43.71096017]}"
163,ARH0031,136 Kingston Road,136 Kingston Rd,Occupied,19,Beaches-East York,0,0,24,"{""type"": ""Point"", ""coordinates"": [-79.31162559, 43.67072535]}"
164,ARH0092,2217 Kingston Road,2217 Kingston Rd,Started Construction,20,Scarborough Southwest,0,0,24,"{""type"": ""Point"", ""coordinates"": [-79.25259337, 43.70371978]}"
165,ARH0123,292 - 296 Parliament Street,292 Parliament St,Occupied,13,Toronto Centre,0,0,24,"{""type"": ""Point"", ""coordinates"": [-79.36599037, 43.65865898]}"
166,ARH0230,175 Oak Street - Block 16N (Regent Park Phase 2 and 3),175 Oak St,Occupied,13,Toronto Centre,24,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36058855, 43.66205296]}"
167,ARH0304,3050 Pharmacy Avenue,3050 Pharmacy Avenue,Occupied,22,Scarborough-Agincourt,24,0,0,"{""type"": ""Point"", ""coordinates"": [-79.32756338, 43.79595099]}"
168,ARH0309,111 Peter Street,111 Peter Street,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,24,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39241553, 43.64767931]}"
169,ARH0036,1430 Gerrard Street East,1430 Gerrard St E,Occupied,14,Toronto-Danforth,0,0,23,"{""type"": ""Point"", ""coordinates"": [-79.32230139, 43.67248542]}"
170,ARH0116,265 Balliol Street,265 Balliol St,Occupied,12,Toronto-St. Pauls,23,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38781075, 43.69877738]}"
171,ARH0133,315-325 Spadina Avenue,315 Spadina Ave,Started Construction,11,University-Rosedale,22,0,0,"{""type"": ""Point"", ""coordinates"": [-79.39814556, 43.65421896]}"
172,ARH0168,4626 Kingston Road phase 1,4626 Kingston Rd,Occupied,25,Scarborough-Rouge Park,0,0,22,"{""type"": ""Point"", ""coordinates"": [-79.17989488, 43.77514363]}"
173,ARH0134,316 - 336 Campbell Avenue,316 Campbell Ave,Started Construction,9,Davenport,21,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4504038, 43.66625806]}"
174,ARH0085,218 Carlton Street,218 Carlton St,Occupied,13,Toronto Centre,11,0,9,"{""type"": ""Point"", ""coordinates"": [-79.36973264, 43.66413311]}"
175,ARH0094,230 Coxwell Avenue,230 Coxwell Ave,Started Construction,14,Toronto-Danforth,0,0,20,"{""type"": ""Point"", ""coordinates"": [-79.31937738, 43.67202217]}"
176,ARH0219,880-884 Kingston Road,884 Kingston Rd,Pre-Planning,19,Beaches-East York,20,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29032179, 43.68043916]}"
177,ARH0221,888 Dupont Street,888 Dupont St,Planning Applications Under Review,11,University-Rosedale,20,0,0,"{""type"": ""Point"", ""coordinates"": [-79.42892166, 43.67055435]}"
178,ARH0269,200 University Avenue,200 University Avenue,Planning Applications Under Review,10,Spadina-Fort York,20,0,0,"{""type"": ""Point"", ""coordinates"": [-79.386601, 43.650019]}"
179,ARH0115,2600 Don Mills Road,2600 Don Mills Rd,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,19,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34860618, 43.77625096]}"
180,ARH0228,976 College Street,976 College St,Planning Applications Under Review,9,Davenport,19,0,0,"{""type"": ""Point"", ""coordinates"": [-79.427965, 43.65343336]}"
181,ARH0302,1400-1410 Victoria Park Avenue,1400 Victoria Park Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,19,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30076385, 43.71902257]}"
182,ARH0328,430 Royal York Rd,430 Royal York Rd,Planning Applications Under Review,3,Etobicoke-Lakeshore,19,0,0,"{""type"": ""Point"", ""coordinates"": [-79.50051946, 43.62096813]}"
183,ARH0121,290 Old Weston Road,290 Old Weston Rd,Planning Applications Under Review,9,Davenport,0,0,18,"{""type"": ""Point"", ""coordinates"": [-79.46316395, 43.6717127]}"
184,ARH0291,2500 Don Mills Road,2500 Don Mills Road,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,17,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3478726, 43.7756912]}"
185,ARH0038,1467 Bathurst Street and 490 St Clair Avenue West,1467 Bathurst St,Building Permit Application,12,Toronto-St. Pauls,16,0,0,"{""type"": ""Point"", ""coordinates"": [-79.41810886, 43.68356354]}"
186,ARH0252,350 Bloor Street East,350 Bloor St. E,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,16,0,0,"{""type"": ""Point"", ""coordinates"": [-79.37873583, 43.67227]}"
187,ARH0267,20-22 Front Street West,20 Front Street,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,16,0,0,"{""type"": ""Point"", ""coordinates"": [-79.377881, 43.646777]}"
188,ARH0310,315 and 325 Front Street West and Rail Corridor (Phase 2),315 Front St W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,16,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3892499, 43.64363109]}"
189,ARH0014,118 Havelock Street,118 Havelock St,Pre-Planning,9,Davenport,0,0,15,"{""type"": ""Point"", ""coordinates"": [-79.430825, 43.655969]}"
190,ARH0029,1319 Bloor Street West,1319 Bloor St W,Approved OPAs and Zoning By-Law Amendments,9,Davenport,15,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44469207, 43.65774104]}"
191,ARH0193,625 Church Street,625 Church St,Approved OPAs and Zoning By-Law Amendments,11,University-Rosedale,15,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38235004, 43.66989506]}"
192,ARH0046,1540-1550 Bloor Street West,1540 Bloor St W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,14,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4529346, 43.65642789]}"
193,ARH0122,2901 Bayview Avenue (North Development),2901 Bayview Ave,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,14,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38602584, 43.76920286]}"
194,ARH0260,"261-285 Queen Street East, 360, 384, 410 Richmond Street East and 90, 106 Ontario Street",261 Queen St. E.,Started Construction,13,Toronto Centre,13,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36816116, 43.654722]}"
195,ARH0272,1375 Queen St. W.,1375 Queen St. W,Issued Building Permit,4,Parkdale-High Park,13,0,0,"{""type"": ""Point"", ""coordinates"": [-79.43533161, 43.64100023]}"
196,ARH0305,70 - 86 Lynn Williams Street,70 Lynn Williams St,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,13,0,0,"{""type"": ""Point"", ""coordinates"": [-79.41633052, 43.63937549]}"
197,ARH0026,1306-1310 The Queensway,1306 The Queensway,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,12,0,0,"{""type"": ""Point"", ""coordinates"": [-79.52779671, 43.62147385]}"
198,ARH0157,393 Dundas Street East,393 Dundas St E,Building Permit Application,13,Toronto Centre,0,0,12,"{""type"": ""Point"", ""coordinates"": [-79.36796119, 43.65877465]}"
199,ARH0162,419 - 425 Coxwell Avenue,425 Coxwell Ave,Occupied,19,Beaches-East York,0,0,12,"{""type"": ""Point"", ""coordinates"": [-79.32086239, 43.67748517]}"
200,ARH0261,8 Dawes Road,8 Dawes Rd.,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,12,0,0,"{""type"": ""Point"", ""coordinates"": [-79.2966325, 43.687727]}"
201,ARH0286,"985 Woodbine Avenue and 2078, 2086, 2100, 2102 and 2106 Danforth Avenue",985 Woodbine Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,12,0,0,"{""type"": ""Point"", ""coordinates"": [-79.31246875, 43.68641648]}"
202,ARH0314,586 Eglinton Avenue East,586 Eglinton Ave. e.,Approved OPAs and Zoning By-Law Amendments,15,Don Valley West,12,0,0,"{""type"": ""Point"", ""coordinates"": [-79.37963869, 43.71098931]}"
203,ARH0078,212 - 220 King Street West,212 King St W,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,11,0,0,"{""type"": ""Point"", ""coordinates"": [-79.386395, 43.647649]}"
204,ARH0287,2400 - 2440 Dundas Street West (Phase 1),2440 Dundas St. W,Approved OPAs and Zoning By-Law Amendments,4,Parkdale-High Park,11,0,0,"{""type"": ""Point"", ""coordinates"": [-79.45272929, 43.65862499]}"
205,ARH0299,90 Eastdale Avenue and 2 Secord Avenue,90 Eastdale Avenue,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,11,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30125472, 43.69480516]}"
206,ARH0022,128 Havelock Street,128 Havelock St,Started Construction,9,Davenport,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.430993, 43.656317]}"
207,ARH0035,1423 Dufferin Street,1423 Dufferin St,Planning Applications Under Review,9,Davenport,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.43994658, 43.67121954]}"
208,ARH0051,161 Spadina Road,161 Spadina Rd,Occupied,11,University-Rosedale,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40594131, 43.67267247]}"
209,ARH0054,1650 Sheppard Avenue East,1650 Sheppard Ave E,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34896498, 43.77530553]}"
210,ARH0102,25 Fisherville Road,25 Fisherville Rd,Approved OPAs and Zoning By-Law Amendments,6,York Centre,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44897913, 43.78887474]}"
211,ARH0125,299 Campbell Avenue,299 Campbell Ave,Occupied,9,Davenport,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.449485, 43.66565286]}"
212,ARH0130,3000 Dufferin Street,3000 Dufferin St,Approved OPAs and Zoning By-Law Amendments,8,Eglinton-Lawrence,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.45503098, 43.71108689]}"
213,ARH0166,450 - 455 Palmerston Blvd,455 Palmerston Blvd,Planning Applications Under Review,11,University-Rosedale,0,0,10,"{""type"": ""Point"", ""coordinates"": [-79.41198614, 43.66123297]}"
214,ARH0171,"5, 7, 9, 11, 15 and 19 Cosburn Avenue and 8, 10, 12, 14, 16, 30, 32, 34, 36, 38 and 40 Gowan Avenue",5 Cosburn Ave,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.354556, 43.688269]}"
215,ARH0189,6020 Bathurst Street,6020 Bathurst St,Approved OPAs and Zoning By-Law Amendments,6,York Centre,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44737422, 43.78708751]}"
216,ARH0190,6040 Bathurst Street,6040 Bathurst St,Approved OPAs and Zoning By-Law Amendments,6,York Centre,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.44765194, 43.78904449]}"
217,ARH0250,3060 Eglinton Avenue East,3060 Eglinton Avenue East,Approved OPAs and Zoning By-Law Amendments,24,Scarborough-Guildwood,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.22796782, 43.74171849]}"
218,ARH0253,34 - 42 Maitland Street,34 Maitland St.,Approved OPAs and Zoning By-Law Amendments,13,Toronto Centre,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.38240192, 43.664602]}"
219,ARH0258,34-70 Montgomery Avenue,34 Montgomery Ave,Approved OPAs and Zoning By-Law Amendments,8,Eglinton-Lawrence,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40002192, 43.709744]}"
220,ARH0292,4800 Yonge Street,4800 Yonge Street,Approved OPAs and Zoning By-Law Amendments,18,Willowdale,10,0,0,"{""type"": ""Point"", ""coordinates"": [-79.41146165, 43.76124824]}"
221,ARH0005,1080 Queen Street East,1080 Queen St E,Occupied,14,Toronto-Danforth,0,0,9,"{""type"": ""Point"", ""coordinates"": [-79.33669, 43.662097]}"
222,ARH0088,22 Maynard Avenue,22 Maynard Avenue,Planning Applications Under Review,4,Parkdale-High Park,7,0,2,"{""type"": ""Point"", ""coordinates"": [-79.437894, 43.637907]}"
223,ARH0200,65 to 99 Silver Springs Blvd,65 Silver Springs Blvd,Approved OPAs and Zoning By-Law Amendments,22,Scarborough-Agincourt,9,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30423789, 43.80132103]}"
224,ARH0274,2448-2450 Kingston Rd.,2448 Kingston Rd,Planning Applications Under Review,20,Scarborough Southwest,9,0,0,"{""type"": ""Point"", ""coordinates"": [-79.24957603, 43.71057003]}"
225,ARH0311,152-164 Bathurst Street and and 623-627 Richmond Street West,152 Bathurst Street,Approved OPAs and Zoning By-Law Amendments,10,Spadina-Fort York,9,0,0,"{""type"": ""Point"", ""coordinates"": [-79.40372695, 43.64615326]}"
226,ARH0024,130 River Street,130 River St,Occupied,13,Toronto Centre,3,0,5,"{""type"": ""Point"", ""coordinates"": [-79.35857944, 43.66148426]}"
227,ARH0227,963-967 Pharmacy Avenue,963 Pharmacy Ave,Planning Applications Under Review,21,Scarborough Centre,8,0,0,"{""type"": ""Point"", ""coordinates"": [-79.30050342, 43.73485737]}"
228,ARH0006,109-125 George Street and 231 Richmond Street East,125 George St,Started Construction,13,Toronto Centre,7,0,0,"{""type"": ""Point"", ""coordinates"": [-79.37133233, 43.65307731]}"
229,ARH0055,1693-1707 Weston Road and 10 Victoria Avenue East,1693 Weston Rd,Approved OPAs and Zoning By-Law Amendments,5,York South-Weston,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.50926227, 43.69748017]}"
230,ARH0124,2946-2968 Dundas Street West,2946 Dundas St W,Started Construction,4,Parkdale-High Park,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.46768566, 43.66562659]}"
231,ARH0182,5507 and 5509 Dundas Street West,5507 Dundas St W,Approved OPAs and Zoning By-Law Amendments,3,Etobicoke-Lakeshore,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.54476522, 43.63167275]}"
232,ARH0187,6 Dawes Road (Phase 2),6 Dawes Rd,Approved OPAs and Zoning By-Law Amendments,19,Beaches-East York,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.29877738, 43.68711716]}"
233,ARH0218,880 - 882 & 888 Eastern Avenue and 74 - 80 Knox Avenue,880 Eastern Ave,Planning Applications Under Review,14,Toronto-Danforth,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.325966, 43.662967]}"
234,ARH0251,46-52 Laing Street,52 Laing St,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.32716007, 43.663138]}"
235,ARH0262,"386-394 Symington Avenue, 485 Perth Avenue & 17 Kingsley Avenue",386 Symington Ave,Started Construction,9,Davenport,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.45267292, 43.66785]}"
236,ARH0288,"21-53 Broadview Avenue, 344 Eastern Avenue and 18-34 and 40 Lewis Street ",21 Broadview Avenue,Approved OPAs and Zoning By-Law Amendments,14,Toronto-Danforth,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.34866825, 43.65728022]}"
237,ARH0300,450 Dufferin Street,450 Dufferin Street,Approved OPAs and Zoning By-Law Amendments,9,Davenport,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4298059, 43.64574692]}"
238,ARH0312,123 and 123A Parkway Forest Drive,123 Parkway Forest Drive,Approved OPAs and Zoning By-Law Amendments,17,Don Valley North,6,0,0,"{""type"": ""Point"", ""coordinates"": [-79.3416702, 43.77598156]}"
239,ARH0023,130 Augusta Avenue,130 Augusta Ave,Started Construction,10,Spadina-Fort York,4,0,0,"{""type"": ""Point"", ""coordinates"": [-79.4011943, 43.65208837]}"
240,ARH0099,2495 Eglinton Avenue East,2495 Eglinton Avenue East,Planning Applications Under Review,20,Scarborough Southwest,4,0,0,"{""type"": ""Point"", ""coordinates"": [-79.259737, 43.733914]}"
241,ARH0308,79 Dunkirk Road,79 Dunkirk Rd,Started Construction,19,Beaches-East York,4,0,0,"{""type"": ""Point"", ""coordinates"": [-79.31759625, 43.69299345]}"
242,ARH0322,209 Carlton Street,209 Carlton Street,Issued Building Permit,13,Toronto Centre,4,0,0,"{""type"": ""Point"", ""coordinates"": [-79.36962866, 43.66384385]}"
243,ARH0326,191 Gledhill Ave,191 Gledhill Ave,Started Construction,19,Beaches-East York,4,0,0,"{""type"": ""Point"", ""coordinates"": [-79.31075133, 43.69289502]}"
244,ARH0170,48 Annette Street,48 Annette St,Started Construction,4,Parkdale-High Park,3,0,0,"{""type"": ""Point"", ""coordinates"": [-79.46135028, 43.66389279]}"
245,ARH0004,1072 - 1080 Bathurst Street,1072 Bathurst St,Occupied,11,University-Rosedale,2,0,0,"{""type"": ""Point"", ""coordinates"": [-79.41434208, 43.67239262]}"
246,ARH0144,34 Kessack Court,34 Kessack Crt,Occupied,25,Scarborough-Rouge Park,2,0,0,"{""type"": ""Point"", ""coordinates"": [-79.21690349, 43.80057372]}"
247,ARH0167,4620 Eglinton Avenue West and 250 Wincott Drive,4620 Eglinton Ave W,Planning Applications Under Review,2,Etobicoke Centre,2,0,0,"{""type"": ""Point"", ""coordinates"": [-79.54601211, 43.67878143]}"
248,ARH0188,6 Shipman Street,6 Shipman St,Occupied,4,Parkdale-High Park,0,0,2,"{""type"": ""Point"", ""coordinates"": [-79.475807, 43.666913]}"
249,ARH0215,838 - 844 Broadview Avenue,838 Broadview Ave,Approved Site Plan Application,14,Toronto-Danforth,2,0,0,"{""type"": ""Point"", ""coordinates"": [-79.35866499, 43.67863314]}"
250,ARH0210,80 Dale Avenue,80 Dale Ave,Planning Applications Under Review,24,Scarborough-Guildwood,0,198,0,"{""type"": ""Point"", ""coordinates"": [-79.2057405, 43.75275125]}"
